Book_name,Book_url,Author,ISBN-10,Year,Pages,Language,Category,Book_description
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Moritz Lenz, 1484261089, 2020, 186, English, Perl,"Book Description:        Gain the skills to begin developing Raku applications from the ground up in this hands-on compact book, which includes a foreword from Larry Wall, creator of Perl. You’ll learn enough to get started building with Raku, using Raku’s gradual typing, handy object orientated features, powerful parsing capabilities, and human-usable concurrency. This book has been updated to include the latest version of Raku based upon the Perl 6.d major version which includes over 3,400 new commits in its specification."
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Doug Lowe, 111968045X, 2020, 912, English, Java,"Book Description:        Java—from first steps to first apps Knowing Java is a must-have programming skill for any programmer. It’s used in a wide array of programming projects—from enterprise apps and mobile apps to big data, scientific, and financial uses. The language regularly ranks #1 in surveys of the most popular language based on number of developers, lines of code written, and real-world usage. It’s also the language of choice in AP Computer Science classes taught in the U.S. This guide provides an easy-to-follow path from understanding the basics of writing Java code to applying those skills to real projects. Split into eight minibooks covering core aspects of Java, the book introduces the basics of the Java language and object-oriented programming before setting you on the path to building web apps and databases. • Get up to speed on Java basics • Explore object-oriented programming • Learn about strings, arrays, and collections • Find out about files and databases Step-by-step instructions are provided to ensure that you don’t get lost at any point along the way."
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Kasam Shaikh, 1484262182, 2020, 201, English, Networking & Cloud Computing,"Book Description:        Explore artificial intelligence offerings by Microsoft Azure, along with its other services. This book will help you implement AI features in various Azure services to help build your organization and customers. The book starts by introducing you to the Azure Cognitive Search service to create and use an application. You then will learn the built-in automatic tuning intelligence mechanism in Azure SQL Database. This is an important feature you can use to enable Azure SQL Database to optimize the performance of your queries. Next, you will go through AI services with Azure Integration Platform service and Azure Logic Apps to build a modern intelligent workflow in your application. Azure functions are discussed as a part of its server-less feature. The book concludes by teaching you how to work with Power Automate to analyze your business workflow. After reading this book, you will be able to understand and work with different Azure Cognitive Services in AI. You will: Get started with Azure Cognitive Search service Use AI services with Low Code – Power Automate Use AI services with Azure Integration services Use AI services with Azure Server-less offerings Use automatic tuning in Azure SQL database"
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Craig Johnston, 1484256107, 2020, 513, English, Programming,"Book Description:        Leverage Kubernetes for the rapid adoption of emerging technologies. Kubernetes is the future of enterprise platform development and has become the most popular, and often considered the most robust, container orchestration system available today. This book focuses on platforming technologies that power the Internet of Things, Blockchain, Machine Learning, and the many layers of data and application management supporting them."
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Jörg Krause, 1484262026, 2020, 359, English, Bootstrap,"Book Description:        This updated second edition of Introducing Bootstrap 4 builds your understanding of the basic rules of CSS, the SASS pre-compiler, Bootstrap, and how they work together. After learning to set up CSS on both Linux (Ubuntu) and Windows, you will discover how you can make use of templates and themes written for Bootstrap, and how to refine the user interface. You will also find out how you can utilize and activate components. Numerous screenshots and code snippets are provided to help explain and reinforce the concepts discussed in the book."
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Mike Chapple, 1119684056, 2020, 704, English, Certification,"Book Description:        This updated study guide by two security experts will help you prepare for the CompTIA CySA+ certification exam. Position yourself for success with coverage of crucial security topics! Where can you find 100% coverage of the revised CompTIA Cybersecurity Analyst+ (CySA+) exam objectives? It’s all in the CompTIA CySA+ Study Guide Exam CS0-002, Second Edition! This guide provides clear and concise information on crucial security topics. You’ll be able to gain insight from practical, real-world examples, plus chapter reviews and exam highlights. Turn to this comprehensive resource to gain authoritative coverage of a range of security subject areas. Review threat and vulnerability management topics Expand your knowledge of software and systems security Gain greater understanding of security operations and monitoring Study incident response information Get guidance on compliance and assessment The CompTIA CySA+ Study Guide, Second Edition connects you to useful study tools that help you prepare for the exam. Gain confidence by using its interactive online test bank with hundreds of bonus practice questions, electronic flashcards, and a searchable glossary of key cybersecurity terms. You also get access to hands-on labs and have the opportunity to create a cybersecurity toolkit. Leading security experts, Mike Chapple and David Seidl, wrote this valuable guide to help you prepare to be CompTIA Security+ certified. If you’re an IT professional who has earned your CompTIA Security+ certification, success on the CySA+ (Cybersecurity Analyst) exam stands as an impressive addition to your professional credentials. Preparing and taking the CS0-002exam can also help you plan for advanced certifications, such as the CompTIA Advanced Security Practitioner (CASP+)."
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Ashwin Pajankar, 1484260856, 2020, 173, English, Programming,"Book Description:        Get a quick start to learn, understand, and apply GNU Octave using a math- and programming-friendly approach. This book focuses on an end-to-end track to teach mathematical programming, data science, signal processing, and image processing with GNU Octave"
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/, Randall Hyde, 1718500386, 2020, 656, English, Programming,"Book Description:        Thinking Low-Level, Writing High-Level, the second volume in the landmark Write Great Code series by Randall Hyde, covers high-level programming languages (such as Swift and Java) as well as code generation on 64-bit CPUsARM, the Java Virtual Machine, and the Microsoft Common Runtime. Today’s programming languages offer productivity and portability, but also make it easy to write sloppy code that isn’t optimized for a compiler. Thinking Low-Level, Writing High-Level will teach you to craft source code that results in good machine code once it’s run through a compiler. You’ll learn: •  How to analyze the output of a compiler to verify that your code generates good machine code •  The types of machine code statements that compilers generate for common control structures, so you can choose the best statements when writing HLL code •  Enough assembly language to read compiler output •  How compilers convert various constant and variable objects into machine data With an understanding of how compilers work, you’ll be able to write source code that they can translate into elegant machine code. NEW TO THIS EDITION, COVERAGE OF: •  Programming languages like Swift and Java •  Code generation on modern 64-bit CPUs •  ARM processors on mobile phones and tablets •  Stack-based architectures like the Java Virtual Machine •  Modern language systems like the Microsoft Common Language Runtime"
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Burd, 1119612586, 2020, 384, English, Programming,"Book Description:        Create awesome iOS and Android apps with a single tool! Flutter is an app developer’s dream come true. With Google’s open source toolkit, you can easily build beautiful apps that work across platforms using a single codebase. This flexibility allows you to get your work out to the widest possible audience. Flutter is already being used by thousands of developers worldwide in a market where billions of apps are downloaded every year. Now is the right time to get ahead of the curve with this incredible tool. Flutter for Dummies is your friendly, ground-up route to creating multi-platform apps. From how to construct your initial frameworks to writing code in Dart, you’ll find the essentials you need to ride the Flutter revolutionary wave to success. This book includes guidance on how to create an intuitive and stunning UI, add interactivity, and easily pull in data. You’ll also see how Flutter features like Hot Reload―providing sub-second refreshes as you refine your work―help you make sure your app is a delight to use. ·         Start simple: follow steps to build a basic app ·         It’s alive! Keep connected to online data ·         It moves! Make things fun with animated features ·         Get the word out: use tips to expand your audience Whether you’re a fledgling developer or an expert wanting to add a slick feather to your programming cap, join the Flutter revolution now and soar above the rest!"
Demystifying Azure AI,http://www.allitebooks.com/demystifying-azure-ai/," Chris Eagle, Kara Nance", 1718501021, 2020, 608, English, Programming,"Book Description:        A guide to using the Ghidra software reverse engineering tool suite. The result of more than a decade of research and development within the NSA, the Ghidra platform was developed to address some of the agency’s most challenging reverse-engineering problems. With the open-source release of this formerly restricted tool suite, one of the world’s most capable disassemblers and intuitive decompilers is now in the hands of cybersecurity defenders everywhere — and The Ghidra Book is the one and only guide you need to master it. In addition to discussing RE techniques useful in analyzing software and malware of all kinds, the book thoroughly introduces Ghidra’s components, features, and unique capacity for group collaboration. You’ll learn how to: •  Navigate a disassembly •  Use Ghidra’s built-in decompiler to expedite analysis •  Analyze obfuscated binaries •  Extend Ghidra to recognize new data types •  Build new Ghidra analyzers and loaders •  Add support for new processors and instruction sets •  Script Ghidra tasks to automate workflows •  Set up and use a collaborative reverse engineering environment Designed for beginner and advanced users alike, The Ghidra Book will effectively prepare you to meet the needs and challenges of RE, so you can analyze files like a pro."
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Brian L. Gorman, 1484260430, 2020, 649, English, Datebases,"Book Description:        Determine your object relational mapper (ORM) of choice for enterprise applications using .NET Framework, and especially .NET Framework Core 3.1 and higher. Real-world examples and considerations are presented in this book to help you create robust and efficient database solutions. Throughout the text, actual problems, questions, and common pitfalls are provided to help you recognize optimal solutions for maximum success in the different application scenarios you might encounter."
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Jon Hall, 1119214696, 2020, 640, English, Certification,"Book Description:        Master vSphere 6 virtualization with hands-on practice and bonus preview exams VCP6-DCV: VMware Certified Professional-Data Center Virtualization on vSphere 6 Study Guide is your ultimate guide to preparing for exam 2VO-621. This Study Guide provides 100% coverage of all exam objectives and offers a unique set of study tools including assessment tests, objective map, real-world scenarios, hands-on exercises, and much more so you can be confident come exam day. You will also receive access to the superior Sybex interactive online learning environment that provides additional study tools including electronic flashcards and bonus practice exams. More than just a study guide, this book bridges the gap between exam prep and real-world on the job skills by focusing on the key information VMware professionals need to do the job. You’ll master the vCenter Server and ESXi from planning and installation through upgrade and security, and develop an in-depth understanding of vSphere networking and storage, vApp deployment, service level establishment, troubleshooting, monitoring implementation, and so much more. Study 100% of exam 2V0-621 objectives Practice your skills with hands-on exercises Gain professional insight from real-world scenarios Test your understanding with review questions, practice tests, and more Virtualization is the number-one IT priority for organizations across public and private sectors, and VMware is the dominant force in the virtualization space. The VCP6-DCV certification gives you a highly marketable credential in terms of employment, but first you must pass this challenging exam. VCP6-DCV gives you the power of Sybex exam prep and the skills you need to excel at the job."
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Michael Geers, 978-1617296871, 2020, 296, English, Web Development,"Book Description:         Micro Frontends in Action teaches you how to put the theory of micro frontends into practice. Frontend expert Michael Geers teaches you with a complete ecommerce example application that illustrates how a large-scale business application can adopt the micro frontends approach. You’ll learn to integrate web applications made up of smaller fragments using tools such as web components or server side includes, how to solve the organizational challenges of micro frontends, and how to create a design system that ensures an end user gets a consistent look and feel for your application. When you’re done, you’ll be able to better distribute your team’s skills and resources to deliver quality software quickly and flexibly. what’s inside Applying integration strategies with iframes, AJAX, server-side includes, web components and the app-shell approach Optimizing for performance and asset delivery strategies Designing coherent user interfaces Migrating to a micro frontends architecture"
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Ken Youens-Clark, 1617297518, 2020, 325, English, Python,"Book Description:        A long journey is really a lot of little steps. The same is true when you’re learning Python, so you may as well have some fun along the way! Written in a lighthearted style with entertaining exercises that build powerful skills, Tiny Python Projects takes you from amateur to Pythonista as you create 19 bitesize programs."
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Robert Stackowiak, 1484261526, 2020, 148, English, Software,Book Description:        Learn the fundamentals of Design Thinking and how to apply Design Thinking techniques in defining software development and AI solutions. Design Thinking is an approach to innovation which identifies problems and generates solution ideas that can be rapidly proven through prototyping.
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/," Barry Burd, John Paul Mueller", 1119660459, 2020, 800, English, Programming,"Book Description:        Conquer the world of Android app development Android has taken over the mobile and TV markets and become unstoppable! Android offers a vast stage for developers to serve millions―and rake in the profits―with diverse and wide-ranging app ideas. Whether you’re a raw recruit or a veteran programmer, you can get in on the action and become a master of the Android programming universe with the new edition of Android Application Development For Dummies All-in-One. In addition to receiving guidance on mobile and TV development, you’ll find overviews of native code, watch, car, Android wear, and other device development. This friendly, easy-to-follow book kicks off by offering a fundamental understanding of Android’s major technical ideas, including functional programming techniques. It moves on to show you how to work effectively in Studio, program cool new features, and test your app to make sure it’s ready to release to a waiting world. You’ll also have an opportunity to brush up on your Kotlin and develop your marketing savvy. There are millions of potential customers out there, and you want to stand out from the crowd!  Understand new features and enhancements Get development best-practices Know your Android hardware Access online materials  With a market share like Android’s, the stakes couldn’t be higher. Android Application Development For Dummies All-in-One levels the field and gives you the tools you need to take on the world."
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Panos Matsinopoulos, 1484261402, 2020, 331, English, JavaScript,"Book Description:        Learn the principles behind test-driven development (TDD) and behavior-driven development (BDD) and see how Jasmine, RSpec and Cucumber can be used to your advantage. This book examines some of the leading technologies used for testing. You’ll see how to use Jasmine’s features to work with a JavaScript application. You will learn how to use Mini Test and RSpec with Ruby and Rubymine. Finally, you’ll use Cucumber to develop your software using a BDD approach. Understanding test automation is a vital skill for any web developer. Practical Test Automation breaks down for you some of the important TDD and BDD technologies on the modern web. What You’ll Learn  Test an example JavaScript application with Jasmine Use Jasmine with JS Bin Work with Minitest for test-driven development Test an example Ruby project with RSpec Use Cucumber and Gherkin for behavior-driven development Integrate Cucumber with RSpec  Who This Book Is For This book is for anyone who wants to learn test automation and more about test-driven development and behavior-driven development."
Flutter For Dummies,http://www.allitebooks.com/flutter-for-dummies/, Christopher Harrold, 1484256131, 2020, 396, English, Hardware & DIY,"Book Description:        With the rapid development of the Internet of Things, a gap has emerged in skills versus knowledge in an industry typically segmented into hardware versus software. Practitioners are now expected to possess capabilities across the spectrum of hardware and software skills to create these smart devices."
Advanced Python Development,http://www.allitebooks.com/advanced-python-development/, Alex Libby, 1484260880, 2020, 276, English, Programming,"Book Description:        Leverage the power of Hexo to quickly produce static blog sites that are efficient and fast. This project-oriented book simplifies the process of setting up Hexo and manipulating content, using little more than a text editor and free software. It will equip you with a starting toolset that you can use to develop future projects, incorporate into your existing workflow and allow you to take your websites to the next level. Hexo is based on JavaScript and Node.js, two of the biggest tools available for developers: you can enhance, extend, and configure Hexo as requirements dictate. With Hexo the art of possible is only limited by the extent of your imagination and the power of JavaScript and Node.js. Practical Hexo gets you quickly acquainted with creating and manipulating blogs using a static site generator approach. You will understand how to use the Hexo framework to rapidly create and deploy blogs that are performant, with the minimum of fuss, then extend and customize your content using plugins and themes. You will work through some practical projects to help solidify your skills, and put them into practice. What You`ll Learn Implement the Hexo framework in a project Customize and extend content Consider maintenance requirements and how they compare to other blog systems Apply skills to practical, real-world projects Create themes and build plugins Make changes using other tools and libraries. Who This Book Is For Website developers who are already familiar with JavaScript and keen to learn how to leverage the Hexo framework. Agile development team members, where time is of the essence to deliver results quickly. Developers who want to focus on simplicity, to produce efficient and properly optimized content in modern browsers using tools already in their possession."
Advanced Python Development,http://www.allitebooks.com/advanced-python-development/, Mikael Olsson, 1484259947, 2020, 223, English, C & C++,"Book Description:        This quick C++ 20 guide is a condensed code and syntax reference to the popular programming language, fully updated for C++20. It presents the essential C++20 code syntax in a well-organized format that can be used as a handy reference. This edition covers topics including designated initializers, lambdas and lambda captures, the spaceship operator, pack expressions, string literals as template parameters, atomic smart pointers, and contracts. It also covers library changes including extended futures, latches and barriers, task blocks, and text formatting. In the C++20 Quick Syntax Reference, you will find short, simple, and focused code examples.  This book includes a well-laid-out table of contents and a comprehensive index allowing for easy review. You won’t find any technical jargon, bloated samples, drawn out history lessons, or witty stories in this book. What you will find is a language reference that is concise, to the point, and highly accessible.  The book is packed with useful information and is a must-have for any C++ programmer. What You’ll Learn  Discover the key C++20 features Work with concepts to constrain template arguments Use modules as a replacement for header files Take advantage of the three-way comparison operator Create immediate functions using the consteval keyword Make use of constexpr, constinit and designated initializers  Who This Book Is For Experienced C++ programmers. Additionally, this is a concise, easily-digested introduction for other programmers new to C++."
Advanced Python Development,http://www.allitebooks.com/advanced-python-development/, Philip Kirkbride, 1484260341, 2020, 386, English, Linux & Unix,"Book Description:        Learn command line tricks, programs, and hacks you can use day to day as a Linux user, programmer, and system administrator. When you interact with the digital world, you can’t go far without interacting with Linux systems. This book shows you how to leverage its power to serve your needs.  Many users know “top” is installed on almost all Linux machines, but did you know with a few keystrokes you can customize it specifically for your needs? Stuck using `cd` and `ls` commands for navigating file systems? This book looks at how you can use Ranger to quickly navigate through multiple levels of folders, and quickly run bash commands without ever leaving the terminal. We also suggest programs that can be used for common tasks such as finding which programs are using the most processing, data download/upload, and file space.  You’ll know how to quickly connect to remote machines and run your commonly needed jobs in a keystroke or even on auto-pilot. With Basic Linux Terminal Tips and Tricks you’ll be equipped with a wide range of tools that can be used for daily work and maintenance on all sorts of Linux systems including servers, desktops, and even embedded devices. What You Will Learn  Work with common tools on your local network. Techniques for efficient use of command line. Easily manipulate text files for processing. Monitor the state of a system with a handful of popular programs. Combine programs to create useful processes.  Who This Book Is For   Anyone who is interested in Linux and Unix based operating systems as a hobby or for work."
Advanced Python Development,http://www.allitebooks.com/advanced-python-development/," Giulio Zambon, Luciano Manelli", 1484258657, 2020, 407, English, Java,"Book Description:        Start building Java-based web applications now, even if you’re a complete newcomer to Java. Comprehensive and example-driven, this book is all you need to develop dynamic Java-based web applications using JSP, connect to databases with JSF, and put them into action using the popular open source Java web server, Apache Tomcat. Beginning Jakarta EE Web Development is a comprehensive introduction to building Java-based web applications using JavaServer Pages (JSP) using Jakarta Server Pages, JavaServer Faces (JSF) using Jakarta Server Faces, and the Apache Tomcat web application server.  Other APIs including JSON and the XML-based job specification language (JSL) are covered along the way. Key concepts are made easy to grasp with numerous working examples and a walk-through of the development of a complete ecommerce project. This book is written for professionals by practicing Java web application professionals and experts. What You Will Learn  Build Java-based web applications using JSP and JSF with Eclipse Jakarta EE Use the new Jakarta Server Faces APIs to create JSF applications Work with the new Jakarta Server Pages APIs to create JSPs Integrate and implement JSF and JSP together Build an online ecommerce web application along the way  Who This Book Is For Programmers new to programming in Java and programming in general."
